,Bikename,Milege,Power in(PS),MinPrice,MaxPrice,Bikelinks,,
0,TVS Apache RTR 160,NaN,16.04 PS,Rs.1.18 Lakh,Rs. 1.25 Lakh*,https://www.bikedekho.com/tvs/apache-160,,
1,TVS Raider,67 kmpl,11.38 PS,"Rs.85,973 ","Rs. 99,990*",https://www.bikedekho.com/tvs/raider,,
2,TVS Apache RTR 160 4V,47.61 kmpl,19.2 PS,Rs.1.22 Lakh,Rs. 1.45 Lakh*,https://www.bikedekho.com/tvs/apache,,
3,TVS Apache RR 310,33.1 kmpl, 34 PS,Rs.2.65 Lakh*,Rs.NaN,https://www.bikedekho.com/tvs/akula-310,,
4,TVS NTORQ 125,54.33 kmpl,9.38 PS,"Rs.79,956 ","Rs. 99,961*",https://www.bikedekho.com/tvs/ntorq-125,,
5,TVS Ronin,42.95 kmpl,20.4 PS,Rs.1.49 Lakh,Rs. 1.71 Lakh*,https://www.bikedekho.com/tvs/ronin,,
6,TVS iQube Electric,NaN,NaN,Rs.1.61 Lakh,Rs. 1.61 Lakh*,https://www.bikedekho.com/tvs/iqube-electric,,
7,TVS XL100,80 kmpl,4.35 PS,"Rs.45,241 ","Rs. 56,360*",https://www.bikedekho.com/tvs/xl-100,,
8,TVS Jupiter,64 kmpl,7.88 PS,"Rs.69,990 ","Rs. 85,246*",https://www.bikedekho.com/tvs/jupiter,,
9,TVS Apache RTR 180,NaN,17.02 PS,Rs.1.31 Lakh*,Rs.NaN,https://www.bikedekho.com/tvs/apache-rtr-180,,
10,TVS Apache RTR 200 4V,NaN,20.82 PS,Rs.1.40 Lakh,Rs. 1.45 Lakh*,https://www.bikedekho.com/tvs/apache-rtr-200-4v,,
11,TVS Sport,NaN,8.29 PS,"Rs.63,990 ","Rs. 68,093*",https://www.bikedekho.com/tvs/sport,,
12,TVS Radeon,73.68 kmpl,8.19 PS,"Rs.59,925 ","Rs. 78,414*",https://www.bikedekho.com/tvs/radeon,,
13,TVS Jupiter 125,57.27 kmpl,8.15 PS,"Rs.82,825 ","Rs. 89,625*",https://www.bikedekho.com/tvs/jupiter-125,,
14,TVS Star City Plus,83.09 kmpl,8.19 PS,"Rs.74,990 ","Rs. 78,140*",https://www.bikedekho.com/tvs/star-city-plus,,
15,TVS Scooty Pep Plus,NaN,5.4 PS,"Rs.63,284 ","Rs. 66,184*",https://www.bikedekho.com/tvs/scooty,,
16,TVS Scooty Zest,NaN,7.81 PS,"Rs.71,636 ","Rs. 73,313*",https://www.bikedekho.com/tvs/scooty-zest,,
17,Hero Splendor Plus,NaN,8.02 PS,"Rs.72,076 ","Rs. 76,346*",https://www.bikedekho.com/hero/splendor,,
18,Hero HF Deluxe,NaN,8.02 PS,"Rs.59,990 ","Rs. 67,138*",https://www.bikedekho.com/hero/hf-deluxe,,
19,Hero XPulse 200,51.59 kmpl,19.17 PS,Rs.1.38 Lakh,Rs. 1.52 Lakh*,https://www.bikedekho.com/hero/xpulse-200,,
20,Hero Passion Pro,68.21 kmpl,9.15 PS,"Rs.74,408 ","Rs. 80,858*",https://www.bikedekho.com/hero/passion-pro-110,,
